epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,977.023,0.87522,0.74826,0.01053,0.87142,0.80073,0.85333,0.61134,1.29531,1.56732,0.01875,0.000923027,0.000923027,0.000923027
134,985.066,0.83765,0.73249,0.01033,0.86568,0.82326,0.85565,0.61754,1.29857,1.53959,0.01878,0.000910642,0.000910642,0.000910642
135,991.865,0.86425,0.73212,0.00994,0.88535,0.78926,0.85656,0.61842,1.2965,1.50528,0.01896,0.000898272,0.000898272,0.000898272
136,998.63,0.84083,0.76145,0.01005,0.89403,0.778,0.83165,0.61138,1.29599,1.72856,0.01821,0.00088592,0.00088592,0.00088592
137,1005.57,0.83664,0.73305,0.01031,0.89353,0.78701,0.82289,0.59316,1.32495,1.73887,0.01901,0.000873588,0.000873588,0.000873588
138,1012.29,0.83862,0.76756,0.01022,0.87909,0.79004,0.83846,0.60783,1.31102,1.68837,0.01917,0.000861277,0.000861277,0.000861277
139,1019.04,0.85778,0.79241,0.01049,0.8642,0.79094,0.83951,0.60159,1.28134,1.67959,0.01878,0.000848989,0.000848989,0.000848989
140,1025.76,0.84999,0.7444,0.01006,0.87313,0.7582,0.82083,0.58352,1.32342,1.6903,0.01927,0.000836727,0.000836727,0.000836727
141,1032.64,0.81578,0.71041,0.01018,0.8417,0.81515,0.83943,0.61813,1.28722,1.62431,0.01815,0.000824492,0.000824492,0.000824492
142,1040.22,0.84194,0.72035,0.01036,0.84382,0.81216,0.84671,0.61435,1.26519,1.62406,0.01754,0.000812287,0.000812287,0.000812287
143,1046.93,0.82075,0.72007,0.01034,0.86222,0.80503,0.83362,0.61935,1.29143,1.74505,0.01796,0.000800113,0.000800113,0.000800113
144,1053.71,0.82768,0.70532,0.01042,0.87432,0.79522,0.83655,0.6089,1.29903,1.81747,0.01841,0.000787972,0.000787972,0.000787972
145,1060.4,0.83313,0.70457,0.01003,0.91803,0.76631,0.84304,0.62261,1.27802,1.75405,0.01759,0.000775866,0.000775866,0.000775866
146,1067.36,0.81747,0.7271,0.01013,0.86318,0.80663,0.84835,0.61153,1.27777,1.64538,0.01847,0.000763797,0.000763797,0.000763797
147,1076.95,0.81592,0.68144,0.00994,0.85854,0.78313,0.83891,0.62099,1.26499,1.73384,0.01714,0.000751767,0.000751767,0.000751767
148,1085.03,0.8072,0.67876,0.00998,0.8864,0.79451,0.84121,0.622,1.27747,1.76195,0.01714,0.000739778,0.000739778,0.000739778
149,1093.25,0.8205,0.68267,0.00972,0.86543,0.78558,0.83463,0.61735,1.25935,1.68576,0.01765,0.000727831,0.000727831,0.000727831
150,1100.11,0.80759,0.73195,0.0104,0.89137,0.78967,0.83594,0.61487,1.27177,1.65012,0.0178,0.000715929,0.000715929,0.000715929
151,1106.91,0.84158,0.75256,0.01039,0.86586,0.79164,0.82559,0.61436,1.27264,1.67375,0.01808,0.000704073,0.000704073,0.000704073
152,1114.73,0.80956,0.73377,0.00997,0.87299,0.78448,0.83329,0.61608,1.29981,1.6377,0.01843,0.000692266,0.000692266,0.000692266
153,1121.53,0.83749,0.7263,0.01019,0.91698,0.79194,0.84643,0.62786,1.26717,1.64785,0.01747,0.000680509,0.000680509,0.000680509
154,1128.38,0.80072,0.6824,0.00934,0.87225,0.81716,0.84631,0.62525,1.28174,1.71561,0.01744,0.000668804,0.000668804,0.000668804
155,1135.2,0.81015,0.71084,0.01009,0.91694,0.79889,0.84613,0.62771,1.29668,1.72329,0.01766,0.000657152,0.000657152,0.000657152
156,1141.93,0.80457,0.71921,0.01041,0.88842,0.79664,0.8337,0.61239,1.29931,1.74939,0.01816,0.000645557,0.000645557,0.000645557
157,1148.69,0.79906,0.705,0.00973,0.91487,0.79219,0.85663,0.62579,1.28993,1.67254,0.01811,0.000634019,0.000634019,0.000634019
158,1155.42,0.79678,0.70243,0.00984,0.87293,0.80057,0.84633,0.62036,1.28943,1.68365,0.01778,0.00062254,0.00062254,0.00062254
159,1162.17,0.79082,0.68767,0.00972,0.89877,0.79292,0.84245,0.62622,1.28518,1.64697,0.01783,0.000611123,0.000611123,0.000611123
160,1168.93,0.78552,0.64417,0.00902,0.87138,0.80452,0.84472,0.59851,1.34108,1.68934,0.01983,0.000599768,0.000599768,0.000599768
161,1175.78,0.76638,0.62009,0.00967,0.89484,0.8023,0.84663,0.61256,1.29893,1.68097,0.01893,0.000588479,0.000588479,0.000588479
162,1182.93,0.80931,0.6734,0.00952,0.88352,0.77616,0.84255,0.60803,1.31088,1.72633,0.01903,0.000577255,0.000577255,0.000577255
163,1189.78,0.79554,0.75913,0.00961,0.90915,0.78818,0.83664,0.6053,1.33031,1.7525,0.01913,0.000566101,0.000566101,0.000566101
164,1196.55,0.77857,0.66445,0.00984,0.89687,0.80368,0.85244,0.63876,1.2263,1.6666,0.01658,0.000555016,0.000555016,0.000555016
165,1203.56,0.7667,0.63769,0.00918,0.9005,0.80352,0.84795,0.61786,1.28311,1.72442,0.01822,0.000544003,0.000544003,0.000544003
166,1210.36,0.78354,0.69079,0.00956,0.92591,0.80208,0.85116,0.6247,1.26999,1.6995,0.01738,0.000533064,0.000533064,0.000533064
167,1217.13,0.81041,0.71621,0.00982,0.9201,0.78615,0.83719,0.6177,1.29417,1.65876,0.01798,0.0005222,0.0005222,0.0005222
