epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,726.645,0.58844,0.27331,0.00382,0.82154,0.75683,0.76162,0.56581,1.01407,0.9702,0.00634,0.000180251,0.000180251,0.000180251
133,731.866,0.59783,0.27223,0.00374,0.81621,0.74915,0.75465,0.5633,1.01612,0.97864,0.00639,0.00017378,0.00017378,0.00017378
134,737.036,0.60458,0.27029,0.00395,0.83316,0.74482,0.76287,0.56828,1.02711,0.91973,0.00636,0.000167411,0.000167411,0.000167411
135,742.289,0.60816,0.27848,0.00386,0.80446,0.78475,0.75926,0.56904,1.00912,0.95528,0.00625,0.000161144,0.000161144,0.000161144
136,747.58,0.59704,0.27172,0.00367,0.79937,0.77966,0.76218,0.56865,1.00847,0.9938,0.00621,0.000154982,0.000154982,0.000154982
137,752.773,0.58546,0.2583,0.00366,0.8342,0.75046,0.7542,0.56209,1.03329,0.9641,0.00635,0.000148927,0.000148927,0.000148927
138,758.055,0.58241,0.26606,0.00366,0.7979,0.77621,0.75473,0.56672,1.0077,0.9555,0.00623,0.00014298,0.00014298,0.00014298
139,763.204,0.57913,0.26672,0.00371,0.79549,0.77458,0.76184,0.56933,1.01853,0.97804,0.00621,0.000137143,0.000137143,0.000137143
140,768.337,0.6018,0.26609,0.00388,0.83189,0.74648,0.76315,0.56513,1.02552,0.96433,0.00626,0.000131419,0.000131419,0.000131419
141,773.602,0.57749,0.28063,0.00377,0.82186,0.75763,0.75826,0.56403,1.02938,0.93291,0.00641,0.000125808,0.000125808,0.000125808
142,779.13,0.57343,0.25515,0.00369,0.82887,0.74707,0.75829,0.56227,1.02495,0.9376,0.00636,0.000120313,0.000120313,0.000120313
143,784.291,0.58806,0.27563,0.00381,0.82041,0.75424,0.75911,0.56416,1.01686,0.93471,0.00631,0.000114935,0.000114935,0.000114935
144,789.555,0.55096,0.23817,0.00354,0.82044,0.75895,0.7566,0.56707,1.00551,0.93919,0.00626,0.000109675,0.000109675,0.000109675
145,794.905,0.56574,0.26513,0.00352,0.82696,0.74518,0.75681,0.56585,1.00485,0.97649,0.00626,0.000104537,0.000104537,0.000104537
146,800.263,0.56989,0.26192,0.0037,0.82591,0.74576,0.75046,0.5616,1.00727,0.97636,0.00627,9.95197e-05,9.95197e-05,9.95197e-05
147,805.446,0.56999,0.27233,0.00355,0.83264,0.74068,0.75751,0.56249,1.01462,0.9738,0.00631,9.46264e-05,9.46264e-05,9.46264e-05
148,810.768,0.56729,0.2616,0.00371,0.80494,0.76238,0.75687,0.5671,1.0162,0.94496,0.00627,8.98581e-05,8.98581e-05,8.98581e-05
149,815.95,0.57229,0.27642,0.00364,0.82843,0.74576,0.76002,0.56667,1.0274,0.9585,0.0064,8.52162e-05,8.52162e-05,8.52162e-05
150,821.257,0.58805,0.26335,0.00371,0.84508,0.73051,0.75726,0.56799,1.02186,0.95928,0.00642,8.07022e-05,8.07022e-05,8.07022e-05
151,826.461,0.56097,0.25873,0.00352,0.82905,0.74237,0.75749,0.56536,1.02075,0.97519,0.00639,7.63174e-05,7.63174e-05,7.63174e-05
152,832.015,0.56737,0.24917,0.00367,0.83472,0.74746,0.76038,0.56814,1.02373,0.93112,0.0064,7.20632e-05,7.20632e-05,7.20632e-05
153,837.292,0.57513,0.26194,0.00356,0.83736,0.74915,0.75992,0.57125,1.01529,0.94064,0.00628,6.79409e-05,6.79409e-05,6.79409e-05
154,842.472,0.55565,0.25421,0.00366,0.79304,0.78814,0.7599,0.56708,1.02226,0.92126,0.00639,6.39518e-05,6.39518e-05,6.39518e-05
155,847.872,0.53968,0.23054,0.00349,0.80975,0.7678,0.77033,0.57316,1.01374,0.92959,0.00629,6.00969e-05,6.00969e-05,6.00969e-05
156,853.243,0.57265,0.27471,0.00367,0.85439,0.74746,0.7728,0.57387,1.01018,0.95143,0.00628,5.63776e-05,5.63776e-05,5.63776e-05
157,858.672,0.57903,0.2721,0.00373,0.83586,0.75593,0.76516,0.56788,1.01397,0.96012,0.00636,5.2795e-05,5.2795e-05,5.2795e-05
158,863.866,0.5613,0.25385,0.00348,0.84468,0.74664,0.76778,0.56919,1.01902,0.94677,0.00632,4.93501e-05,4.93501e-05,4.93501e-05
159,870.429,0.5647,0.26402,0.00352,0.84271,0.75593,0.7691,0.57125,1.0142,0.94766,0.00629,4.6044e-05,4.6044e-05,4.6044e-05
160,875.692,0.54854,0.25653,0.00349,0.83754,0.75254,0.76786,0.57133,1.01855,0.95616,0.00632,4.28777e-05,4.28777e-05,4.28777e-05
161,880.916,0.56404,0.26352,0.00353,0.8523,0.74331,0.76566,0.56939,1.02024,0.95029,0.00633,3.98522e-05,3.98522e-05,3.98522e-05
162,886.566,0.54913,0.26387,0.00347,0.85131,0.74576,0.768,0.5721,1.01847,0.97574,0.00627,3.69683e-05,3.69683e-05,3.69683e-05
163,891.841,0.55239,0.23935,0.00339,0.81134,0.77266,0.76695,0.57202,1.01709,0.98075,0.00628,3.4227e-05,3.4227e-05,3.4227e-05
164,897.145,0.56136,0.26262,0.00359,0.84247,0.74746,0.76536,0.57015,1.01914,0.97892,0.00627,3.16291e-05,3.16291e-05,3.16291e-05
165,902.33,0.53323,0.24319,0.00332,0.81363,0.76955,0.7661,0.57135,1.01584,0.9518,0.00626,2.91755e-05,2.91755e-05,2.91755e-05
166,910.343,0.46982,0.17848,0.00279,0.83025,0.76268,0.76682,0.57186,1.02034,0.983,0.00629,2.68667e-05,2.68667e-05,2.68667e-05
167,916.807,0.48188,0.18875,0.00285,0.80932,0.77694,0.76967,0.57267,1.01663,0.97901,0.00627,2.47036e-05,2.47036e-05,2.47036e-05
168,922.089,0.47363,0.18142,0.00279,0.82032,0.77381,0.76637,0.57285,1.01399,0.97766,0.00622,2.26868e-05,2.26868e-05,2.26868e-05
169,927.227,0.47338,0.1818,0.00278,0.8169,0.77128,0.77113,0.5733,1.01279,0.98105,0.00622,2.08169e-05,2.08169e-05,2.08169e-05
170,932.529,0.48149,0.19102,0.00279,0.81992,0.77172,0.76718,0.57293,1.01052,0.98085,0.0062,1.90945e-05,1.90945e-05,1.90945e-05
171,937.915,0.47304,0.1838,0.00277,0.82386,0.76949,0.77168,0.57328,1.0112,0.97945,0.00618,1.75202e-05,1.75202e-05,1.75202e-05
172,943.467,0.46525,0.17744,0.00272,0.82589,0.76949,0.76903,0.57415,1.01275,0.97396,0.00622,1.60943e-05,1.60943e-05,1.60943e-05
173,948.933,0.45701,0.17712,0.00266,0.82502,0.76716,0.76771,0.57215,1.01658,0.98044,0.00627,1.48173e-05,1.48173e-05,1.48173e-05
174,954.266,0.47831,0.18436,0.00275,0.82609,0.76482,0.76609,0.57215,1.01859,0.98143,0.00624,1.36897e-05,1.36897e-05,1.36897e-05
175,959.481,0.47127,0.18253,0.00276,0.83445,0.76271,0.76704,0.57129,1.0143,0.98473,0.00624,1.27117e-05,1.27117e-05,1.27117e-05
176,964.761,0.47542,0.17671,0.00275,0.83315,0.76271,0.76746,0.5715,1.01144,0.98736,0.00623,1.18836e-05,1.18836e-05,1.18836e-05
177,969.997,0.47507,0.17694,0.0028,0.82419,0.77072,0.76674,0.57141,1.01396,0.99193,0.00624,1.12058e-05,1.12058e-05,1.12058e-05
178,975.338,0.46385,0.17627,0.00266,0.82806,0.76728,0.76643,0.57115,1.01064,0.99663,0.0062,1.06784e-05,1.06784e-05,1.06784e-05
179,980.577,0.46669,0.18575,0.00273,0.82274,0.77096,0.76578,0.57085,1.01039,0.99691,0.0062,1.03015e-05,1.03015e-05,1.03015e-05
180,985.883,0.46382,0.17207,0.00271,0.82588,0.77175,0.76509,0.56984,1.0116,0.99231,0.00619,1.00754e-05,1.00754e-05,1.00754e-05
